tarih,musteri_id_mask,alici_musteri_id_mask,doviz_fmt,odeme_turu_fmt,havale_tutari,musteri_tip
03NOV2014:00:00:00,20498552,5379976,TURK_LIRASI,DIGER_ODEMELER,30000,GERCEK
27AUG2014:00:00:00,15664189,23080897,TURK_LIRASI,DIGER_ODEMELER,1131,TUZEL
04NOV2014:00:00:00,10961244,7947603,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
01OCT2014:00:00:00,15438869,13421645,TURK_LIRASI,DIGER_ODEMELER,2500,GERCEK
01OCT2014:00:00:00,16981050,3788504,TURK_LIRASI,DIGER_ODEMELER,1078,GERCEK
04NOV2014:00:00:00,16981050,3788504,TURK_LIRASI,DIGER_ODEMELER,1078,GERCEK
04NOV2014:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,750,TUZEL
28AUG2014:00:00:00,17257260,19160043,TURK_LIRASI,DIGER_ODEMELER,1900,GERCEK
21JUL2014:00:00:00,10961244,6906362,TURK_LIRASI,DIGER_ODEMELER,500,TUZEL
01SEP2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,500,GERCEK
21JUL2014:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,699,GERCEK
06NOV2014:00:00:00,4837694,20200754,TURK_LIRASI,DIGER_ODEMELER,850,GERCEK
02OCT2014:00:00:00,18654919,1852491,TURK_LIRASI,DIGER_ODEMELER,553,TUZEL
06NOV2014:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
01SEP2014:00:00:00,16981050,3788504,TURK_LIRASI,DIGER_ODEMELER,1078,GERCEK
02SEP2014:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,750,TUZEL
08NOV2014:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,2000,GERCEK
08NOV2014:00:00:00,4837694,16410811,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
08NOV2014:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,110,GERCEK
08OCT2014:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
08OCT2014:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,25,TUZEL
09NOV2014:00:00:00,17257260,17257188,TURK_LIRASI,DIGER_ODEMELER,1000,GERCEK
10NOV2014:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,3000,GERCEK
10NOV2014:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,3000,GERCEK
10NOV2014:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,15,TUZEL
09DEC2014:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,974.37,TUZEL
10NOV2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,457,TUZEL
10NOV2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,563,TUZEL
09DEC2014:00:00:00,9339300,25926252,TURK_LIRASI,AIDAT,15,TUZEL
09OCT2014:00:00:00,10961244,4811637,TURK_LIRASI,DIGER_ODEMELER,100,GERCEK
11NOV2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
10OCT2014:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
12NOV2014:00:00:00,3542321,1607816,TURK_LIRASI,DIGER_ODEMELER,385000,TUZEL
10DEC2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,457,TUZEL
10DEC2014:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,50,GERCEK
10DEC2014:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,350,GERCEK
07JAN2015:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,457,TUZEL
07JAN2015:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,565,TUZEL
11DEC2014:00:00:00,19693997,23080897,TURK_LIRASI,DIGER_ODEMELER,565,TUZEL
13NOV2014:00:00:00,9765025,25854165,TURK_LIRASI,AIDAT,900,TUZEL
08JAN2015:00:00:00,17257260,17257188,TURK_LIRASI,DIGER_ODEMELER,4193,GERCEK
09JAN2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
09JAN2015:00:00:00,9339300,12457749,TURK_LIRASI,DIGER_ODEMELER,6000,GERCEK
31JUL2014:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,2200,GERCEK
14NOV2014:00:00:00,17223830,2138179,TURK_LIRASI,DIGER_ODEMELER,2000,TUZEL
14NOV2014:00:00:00,17223830,2138179,TURK_LIRASI,DIGER_ODEMELER,2600,TUZEL
11JAN2015:00:00:00,10961244,6906362,TURK_LIRASI,DIGER_ODEMELER,900,TUZEL
15DEC2014:00:00:00,2853662,1600616,TURK_LIRASI,DIGER_ODEMELER,165,TUZEL
12JAN2015:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
31JUL2014:00:00:00,19858904,8864832,TURK_LIRASI,DIGER_ODEMELER,825,TUZEL
15DEC2014:00:00:00,16981050,3788504,TURK_LIRASI,DIGER_ODEMELER,1100,GERCEK
17NOV2014:00:00:00,2853662,1600616,TURK_LIRASI,DIGER_ODEMELER,2460,TUZEL
06FEB2015:00:00:00,9054653,18293325,TURK_LIRASI,AIDAT,371,TUZEL
17DEC2014:00:00:00,20217876,11094454,TURK_LIRASI,DIGER_ODEMELER,1200,GERCEK
18NOV2014:00:00:00,2853662,7312863,TURK_LIRASI,DIGER_ODEMELER,2500,GERCEK
11FEB2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,400,GERCEK
11FEB2015:00:00:00,3054783,26987465,TURK_LIRASI,AIDAT,1293,TUZEL
18NOV2014:00:00:00,15664189,23080897,TURK_LIRASI,DIGER_ODEMELER,10,TUZEL
19DEC2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,600,GERCEK
20NOV2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,400,GERCEK
22DEC2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,230,GERCEK
22DEC2014:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,5000,GERCEK
13FEB2015:00:00:00,17257260,8886925,TURK_LIRASI,KONUT_KIRASI,1050,GERCEK
13FEB2015:00:00:00,18654919,1852491,TURK_LIRASI,DIGER_ODEMELER,1062.5,TUZEL
20NOV2014:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,699,GERCEK
20JAN2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
20JAN2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,300,GERCEK
22DEC2014:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,699,GERCEK
22DEC2014:00:00:00,17967143,16981034,TURK_LIRASI,DIGER_ODEMELER,60,GERCEK
21NOV2014:00:00:00,20747527,12816719,TURK_LIRASI,KONUT_KIRASI,200,GERCEK
25DEC2014:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,325,GERCEK
16FEB2015:00:00:00,20747527,4040135,TURK_LIRASI,DIGER_ODEMELER,100,GERCEK
26DEC2014:00:00:00,9339300,2676575,TURK_LIRASI,DIGER_ODEMELER,20,GERCEK
26DEC2014:00:00:00,9339300,2676575,TURK_LIRASI,DIGER_ODEMELER,30,GERCEK
23JAN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,2000,TUZEL
25NOV2014:00:00:00,3542321,1607816,TURK_LIRASI,DIGER_ODEMELER,300995,TUZEL
17FEB2015:00:00:00,9765025,7496821,TURK_LIRASI,DIGER_ODEMELER,94,GERCEK
28DEC2014:00:00:00,9765025,7496821,TURK_LIRASI,DIGER_ODEMELER,45,GERCEK
28DEC2014:00:00:00,9765025,11475237,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
29DEC2014:00:00:00,9765025,25854165,TURK_LIRASI,AIDAT,520,TUZEL
