tarih,musteri_id_mask,alici_musteri_id_mask,doviz_fmt,odeme_turu_fmt,havale_tutari,musteri_tip
16JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,1684.21,TUZEL
27MAR2015:00:00:00,9765025,25854165,TURK_LIRASI,AIDAT,700,TUZEL
17JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,1000,TUZEL
28MAR2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
21MAY2015:00:00:00,9054653,3509451,TURK_LIRASI,DIGER_KIRALAR,65,TUZEL
17JUN2015:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,45,GERCEK
29MAR2015:00:00:00,17638957,10784674,TURK_LIRASI,DIGER_ODEMELER,699,GERCEK
18JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,5000,TUZEL
18JUN2015:00:00:00,10961244,2236413,TURK_LIRASI,DIGER_ODEMELER,10,GERCEK
18JUN2015:00:00:00,10961244,2236413,TURK_LIRASI,DIGER_ODEMELER,250,GERCEK
22JUN2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,600,GERCEK
22JUN2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,4900,GERCEK
22MAY2015:00:00:00,9054653,13268797,TURK_LIRASI,DIGER_ODEMELER,100,TUZEL
22JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,354,TUZEL
19JUN2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,400,GERCEK
19JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,1500,TUZEL
31MAR2015:00:00:00,2782253,27493266,TURK_LIRASI,DIGER_ODEMELER,850,GERCEK
25MAY2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,1000,GERCEK
25MAY2015:00:00:00,4365610,9133648,EURO,DIGER_ODEMELER,1080,TUZEL
23JUN2015:00:00:00,9054653,22855379,TURK_LIRASI,DIGER_ODEMELER,4000,TUZEL
24JUN2015:00:00:00,3542321,9412967,TURK_LIRASI,DIGER_ODEMELER,4000,GERCEK
29JUN2015:00:00:00,4365610,27994481,TURK_LIRASI,AIDAT,455,TUZEL
30JUN2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,398.69,TUZEL
30JUN2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,402.48,TUZEL
30JUN2015:00:00:00,3542321,25720163,TURK_LIRASI,AIDAT,429.99,TUZEL
